title,type,rating,release_year,duration,description
Esperando La Carroza,Movie,NR,1985,95 min,Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?
Mad Ron's Prevues from Hell,Movie,NR,1987,84 min,"This collection cherry-picks trailers, forgotten scenes and poster art from 47 gory oldies, including Bay of Blood and The Blood Spattered Bride."
Murder Party,Movie,NR,2007,79 min,"A mild-mannered office drone plucks a Halloween party invitation off the street and suddenly finds himself the main event at a ""murder party."""
Labyrinth,Movie,PG,1986,101 min,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
Logan's Run,Movie,PG,1976,118 min,"In the 23rd century, inhabitants of a domed city exist in a world filled with life's pleasures – but no one is allowed to live past the age of 30."
The Car,Movie,PG,1977,96 min,"In his small Southwestern town, sheriff Wade Parent must find out who — or what — is running people down via a mysterious, driverless black sedan."
Streets of Fire,Movie,PG,1984,94 min,"Tough ex-soldier Tom Cody springs into action when a depraved motorcycle gang kidnaps his former girlfriend, Ellen, who's now a famous singer."
Hellboy,Movie,PG-13,2004,122 min,"This fast-paced action flick tells the dark story of Hellboy, a charismatic demon who's put on Earth by the Nazis to terrorize the rest of the world."
Beavis and Butt-head Do America,Movie,PG-13,1996,81 min,"After realizing that their boob tube is gone, Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital."
Killer Klowns from Outer Space,Movie,PG-13,1988,86 min,"An alien band of killer clowns descends from the cosmos to harvest scores of small-town victims, cocooning their prey in cotton candy to eat later."
A Night at the Roxbury,Movie,PG-13,1998,82 min,"After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch."
Kingpin,Movie,PG-13,1996,114 min,"After a bowler loses his hand, his career takes a nosedive. That is, until he uncovers the next big thing: an Amish kid named Ishmael."
Scott Pilgrim vs. the World,Movie,PG-13,2010,112 min,"Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love."
Red Dawn,Movie,PG-13,1984,114 min,A group of teenagers witnesses Soviet and Cuban paratroopers descending on their small Colorado town and systematically setting off World War III.
The Naked Gun: From the Files of Police Squad!,Movie,PG-13,1988,85 min,Hapless cop Frank Drebin causes more problems than he solves while trying to stop a deadly plot involving Queen Elizabeth II.
"To Wong Foo, Thanks for Everything! Julie Newmar",Movie,PG-13,1995,108 min,Three New York drag queens on their way to Hollywood for a beauty pageant get stranded in a small Midwestern town when their car breaks down.
Mars Attacks!,Movie,PG-13,1996,106 min,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
Ferris Bueller's Day Off,Movie,PG-13,1986,103 min,"After faking an illness to skip school, popular teen Ferris Bueller enjoys a fun-filled day in Chicago with his girlfriend and his uptight best friend."
Tremors,Movie,PG-13,1990,96 min,"After a seismologist gets unusual readings on her equipment, handymen discover 30-foot-long carnivorous worms that suck their prey underground."
Battlefield Earth,Movie,PG-13,2000,118 min,"In the year 3000, an alien race known as the Psychlos devastate planet Earth and force the surviving human population into slavery."
Paris Is Burning,Movie,R,1990,77 min,"This Sundance prize-winning documentary is an intimate portrait of 1980s Harlem drag balls: a world of fierce competition, sustenance, and survival."
Harold & Kumar Escape from Guantanamo Bay,Movie,R,2008,101 min,Harold and Kumar jump on a plane to catch up with Harold's love interest but must change their plans when Kumar is accused of being a terrorist.
Harold & Kumar Go to White Castle,Movie,R,2004,88 min,Buddies Harold and Kumar set out to satisfy a stoner craving for hamburgers but end up on an epic journey when they can't find White Castle.
Trainspotting,Movie,R,1996,94 min,"Renton and his mates cope with the gritty realities of heroin addiction. But when Renton gets clean, he can't get away from his friends' nasty habits."
Jay and Silent Bob Strike Back,Movie,R,2001,105 min,"Jay and Silent Bob's comic book alter egos have been sold to Hollywood without permission, so they head to Tinseltown to sabotage the production."
Spring Breakers,Movie,R,2012,94 min,"Four cash-strapped college women run afoul of the law — and fall in with a shady hustler — as they join the annual rite of bikinis, beer and debauchery."
Pulp Fiction,Movie,R,1994,154 min,"This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer."
The Texas Chainsaw Massacre,Movie,R,1974,83 min,"When some friends visit a vandalized graveyard, they come upon a chainsaw-wielding maniac, and it's a fight to the bloody death between good and evil."
Kung Fu Hustle,Movie,R,2004,99 min,"Sing, a mobster in 1940s China, longs to be as cool as the formally clad Axe Gang, a band of killers who rule Hong Kong, but can only pretend."
Superbad,Movie,R,2007,113 min,"Hoping to have sex before college, high school seniors Seth and Evan try to score booze for a huge party, leading to a series of wild misadventures."
Mad Max,Movie,R,1979,93 min,"In a post-apocalyptic future, a malicious gang murders Max's family as an act of retaliation, forcing Max to hit the open road seeking vengeance."
The Five Venoms,Movie,R,1978,97 min,A dying kung fu master sends his last student to track down five former pupils in order to learn which one of them has become evil.
The Crow,Movie,R,1994,102 min,"One year after Eric Draven and his fiancée are murdered, Draven – watched over by a hypnotic crow – returns from the grave to exact revenge."
Only God Forgives,Movie,R,2013,90 min,"When a cop kills the brother of an expat American gangster who runs a Bangkok fight club, his crime-boss mother flies in to supervise revenge."
Final Destination,Movie,R,2000,98 min,"After narrowly avoiding a fatal plane explosion, a group of seemingly lucky teen classmates finds that Death is not so easily cheated."
Stripes,Movie,R,1981,106 min,"After losing everything, an indolent sad sack impulsively joins the U.S. Army and cajoles his best friend into enlisting, too."
Blade Runner: The Final Cut,Movie,R,1982,117 min,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
Cloud Atlas,Movie,R,2012,172 min,"In this star-studded drama, six seemingly disparate stories explore the complicated links that humanity shares through the generations."
House Party,Movie,R,1990,104 min,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
House Party 2,Movie,R,1991,94 min,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
Team America: World Police,Movie,R,2004,98 min,"In this musical satire, an all-marionette police force takes on the challenging role of keeping the peace on a troubled planet."
Snowpiercer,Movie,R,2013,126 min,The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.
Hostel: Part III,Movie,R,2011,88 min,"In this installment in the popular horror franchise, a bachelor party in Las Vegas turns into a hellish bloodbath for all involved."
Zoot Suit,Movie,R,1981,103 min,"In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed."
Tenacious D in The Pick of Destiny,Movie,R,2006,94 min,"Dreaming of being a rock god, Midwesterner JB heads to California, where he crosses paths with idler KG – giving rise to the musical duo Tenacious D."
Fear and Loathing in Las Vegas,Movie,R,1998,118 min,A sportswriter and his Samoan lawyer embark on a hallucinogenic three-day romp from Los Angeles to Las Vegas in this counterculture cult favorite.
Tales From the Hood 2,Movie,R,2018,110 min,Buckle up for an anthology of socially conscious horror stories that focus on the perils of racial injustice and the price of ignorance.
Monty Python's Life of Brian,Movie,R,1979,94 min,"Born in a stable in Judea, Brian grows up to join a group of anti-Roman zealots, but his fate keeps getting confused with that of a certain carpenter."
Trailer Park Boys: Countdown to Liquor Day,Movie,R,2009,102 min,"After their latest jail stint, boozy pals Julian, Bubbles and Ricky plan to go legit but learn trailer park manager Jim aims to demolish their homes."
Zodiac,Movie,R,2007,158 min,"A political cartoonist, a crime reporter and a pair of cops investigate San Francisco's infamous Zodiac Killer in this thriller based on a true story."
Candyman,Movie,R,1992,99 min,"Grad student Helen Lyle unintentionally summons the Candyman, a hook-handed creature made flesh by other people's belief in him."
Child's Play,Movie,R,1988,87 min,"When a rash of murders unfolds, 6-year-old Andy knows that his toy doll Chucky is the killer, but neither his mom nor the cops believe him."
Chasing Amy,Movie,R,1997,113 min,"Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her."
Carrie,Movie,R,1976,98 min,"An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom."
Trailer Park Boys: The Movie,Movie,R,2006,95 min,"In this feature-length adventure, Ricky, Julian and Bubbles – just out of jail – plan the lamest scheme yet: to get rich by stealing tons of change."
American Psycho,Movie,R,2000,102 min,"With chiseled good looks that belie his insanity, a businessman takes pathological pride in yuppie pursuits and indulges in sudden homicidal urges."
A Clockwork Orange,Movie,R,1971,137 min,"In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy."
The Great Gambler,Movie,TV-14,1979,161 min,"After unwittingly using his skills to obtain military secrets, a gambler is pursued by a police officer who happens to be his doppelgänger."
The Beast Stalker,Movie,TV-14,2008,110 min,"Feeling guilty after a high-speed chase leaves a girl dead, a determined sergeant pursues the crime boss who triggered the fatal car accident."
Disco Dancer,Movie,TV-14,1982,134 min,"A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft."
Andaz Apna Apna,Movie,TV-14,1994,160 min,"Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage."
Satte Pe Satta,Movie,TV-14,1982,153 min,"The eldest of seven brothers who run a family farm together marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example."
Legendary Weapons of China,Movie,TV-14,1982,101 min,"Three assassins – magician Lei Ying, hit man Tieh Hon and kung fu master Ti Tan – are sent to Yunnan by their clan leader to bring to justice another clan member who betrayed the tribe."
Elaan,Movie,TV-14,1971,143 min,"Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."
The Evil Dead,Movie,TV-MA,1981,85 min,"During a stop at a remote cabin deep within the woods, a group of teens begins turning into flesh-eating zombies in director Sam Raimi's cult classic."
Cheech & Chong's Still Smokin,Movie,TV-MA,1983,91 min,"Stoner comedians Cheech Marin and Tommy Chong arrive in Amsterdam to find they've been mistakenly invited, then take the stage live as a replacement act."
Esperando la carroza,Movie,TV-MA,1985,95 min,Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?
Mindhorn,Movie,TV-MA,2017,88 min,"When a twisted killer tells the police he'll only speak to a fictional 1980s TV detective, the washed-up actor who played him takes the gig."
Trailer Park Boys: Say Goodnight to the Bad Guys,Movie,TV-MA,2008,47 min,"A year after the Season 7 finale, the boys are poised to live the good life. But an old enemy throws a wrench in things once again."
The Cruise,Movie,TV-PG,1970,66 min,"When the captain of a pleasant cruise ship mistakes a mischievous stowaway the entertainment director, wild and wacky hijinks ensue."
Pee-wee's Big Holiday,Movie,TV-PG,2016,90 min,A chance encounter with a mysterious stranger (Joe Manganiello) points Pee-wee toward his destiny – and his first-ever holiday!
