title,type,rating,release_year,duration,description
The Pixar Story,Movie,G,2007,89 min,Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company.
Océans,Movie,G,2009,84 min,This documentary examines the vital role water plays in human existence and the cause-and-effect interplay between oceans and the environment.
Ghost of the Mountains,Movie,G,2017,78 min,An international group of filmmakers sets out on a mission to get up close and personal with a family of elusive snow leopards.
Growing Up Wild,Movie,G,2016,78 min,"Five baby animals from different parts of the world grow up learning to survive in the wild, nurtured by the love and guidance of their families."
Justin Bieber: Never Say Never,Movie,G,2011,106 min,"Teen idol Justin Bieber provides personal snapshots from throughout his career, culminating with scenes from his triumphant 2010 concert tour."
GLOW: The Story of the Gorgeous Ladies of Wrestling,Movie,NR,2012,77 min,"This engaging documentary chronicles the 1980s phenomenon ""The Gorgeous Ladies of Wrestling,"" which elevated its female grapplers to star status."
Raiders!: The Story of the Greatest Fan Film Ever Made,Movie,NR,2015,93 min,"Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot."
Harry Benson: Shoot First,Movie,NR,2016,90 min,"This film chronicles the career of photographer Harry Benson, who earned global renown with his candid shots of the Beatles and other celebrities."
Holy Hell,Movie,NR,2016,103 min,An ex-member charts his path from idealism to disenchantment in a California cult when alarming revelations about the group's leader come to light.
How to Change the World,Movie,NR,2015,110 min,"In the 1970s, a group of activists who gathered to protest nuclear testing formed the iconic Greenpeace environmental organization."
I Am Sun Mu,Movie,NR,2015,88 min,A North Korean propagandist who escaped to Seoul now creates satirical art about Kim Jong Il's regime and copes with repercussions of his defection.
Iverson,Movie,NR,2014,88 min,"This unfiltered documentary follows the rocky life and stratospheric career of Allen Iverson, an NBA icon who left an indelible mark on the sport."
Miss Representation,Movie,NR,2011,90 min,Explore how the mainstream media's often disparaging portrayals of women contribute to the under-representation of females in positions of leadership.
Fishtail,Movie,NR,2015,61 min,Harry Dean Stanton narrates this documentary that follows two modern-day cowboys as they welcome new calves at Montana's Fishtail Basin Ranch.
Sour Grapes,Movie,NR,2016,85 min,A dizzying chronicle of excess and deception dissects a fascinating case of fine-wine fraud and the con man who cheated investors out of millions.
Sons of Ben,Movie,NR,2016,73 min,"Passion is an understatement. Meet the folks who wanted a Major League Soccer club in Philadelphia so badly, they became fans before it even existed."
Newtown,Movie,NR,2016,84 min,"This intimate portrait sheds light on the trauma experienced and strength displayed by those affected by the 2012 massacre in Newtown, Connecticut."
Pablo Escobar: Angel or Demon?,Movie,NR,2007,82 min,This documentary traces the steps of druglord Pablo Escobar with vivid eyewitness accounts that reconstruct his bloody reign in Colombia.
Rats,Movie,NR,2016,88 min,Explore the icky world of rats and witness how their talent for surviving in almost any environment has led to catastrophic events throughout history.
Stop at Nothing: The Lance Armstrong Story,Movie,NR,2014,100 min,"An athlete dupes the world with his tale of miraculous recovery from cancer, becoming a sports hero and beacon of hope, but can he outpace the truth?"
Democrats,Movie,NR,2014,99 min,"After Zimbabwe's disputed 2008 election results, political enemies are asked to write a new constitution and save their country from a bleak future."
Prescription Thugs,Movie,NR,2015,86 min,A documentarian uses his own family's experiences as a springboard to explore the ethical issues surrounding the FDA and pharmaceutical industry.
(T)ERROR,Movie,NR,2015,84 min,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.
